attack,fpr,mean_tpr,sample_std_tpr
compression_rate,0.46,0.51953125,0.051674830294230284
compression_rate,0.462,0.5299479166666666,0.06055737476163273
compression_rate,0.464,0.5299479166666666,0.06055737476163273
compression_rate,0.466,0.53515625,0.055380651870147755
compression_rate,0.468,0.53515625,0.055380651870147755
compression_rate,0.47000000000000003,0.53515625,0.055380651870147755
compression_rate,0.47200000000000003,0.53515625,0.055380651870147755
compression_rate,0.47400000000000003,0.5364583333333334,0.05317858816839098
compression_rate,0.47600000000000003,0.5364583333333334,0.05317858816839098
compression_rate,0.47800000000000004,0.5377604166666666,0.0509811769543018
compression_rate,0.48,0.5377604166666666,0.0509811769543018
compression_rate,0.482,0.54296875,0.04800080362283011
compression_rate,0.484,0.54296875,0.04800080362283011
compression_rate,0.486,0.5442708333333334,0.04884114409768503
compression_rate,0.488,0.5442708333333334,0.04884114409768503
compression_rate,0.49,0.5455729166666666,0.05022734771350497
compression_rate,0.492,0.5455729166666666,0.05022734771350497
compression_rate,0.494,0.55078125,0.05108084699461727
compression_rate,0.496,0.55078125,0.05108084699461727
compression_rate,0.498,0.5572916666666666,0.04355658511374409
compression_rate,0.5,0.55859375,0.04133986423538423
compression_rate,0.502,0.55859375,0.04133986423538423
compression_rate,0.504,0.5625,0.0450490726354328
compression_rate,0.506,0.5625,0.0450490726354328
compression_rate,0.508,0.5638020833333334,0.04285021529141753
compression_rate,0.51,0.5638020833333334,0.04285021529141753
compression_rate,0.512,0.5651041666666666,0.0406575390520729
compression_rate,0.514,0.5651041666666666,0.0406575390520729
compression_rate,0.516,0.56640625,0.03847210078826603
compression_rate,0.518,0.56640625,0.03847210078826603
compression_rate,0.52,0.57421875,0.03471950944263902
compression_rate,0.522,0.57421875,0.03471950944263902
compression_rate,0.524,0.5807291666666666,0.029577647634376425
compression_rate,0.526,0.5807291666666666,0.029577647634376425
compression_rate,0.528,0.5833333333333334,0.03157384284630766
compression_rate,0.53,0.5833333333333334,0.03157384284630766
compression_rate,0.532,0.5911458333333334,0.028793417171218725
compression_rate,0.534,0.5911458333333334,0.028793417171218725
compression_rate,0.536,0.5911458333333334,0.028793417171218725
compression_rate,0.538,0.5911458333333334,0.028793417171218725
compression_rate,0.54,0.59375,0.02734375
compression_rate,0.542,0.59375,0.02734375
compression_rate,0.544,0.5963541666666666,0.02288853623860279
compression_rate,0.546,0.5963541666666666,0.02288853623860279
compression_rate,0.548,0.6002604166666666,0.016263015620829165
compression_rate,0.55,0.6002604166666666,0.016263015620829165
compression_rate,0.552,0.6067708333333334,0.01127637244510988
compression_rate,0.554,0.6067708333333334,0.01127637244510988
compression_rate,0.556,0.6080729166666666,0.012556836928376244
compression_rate,0.558,0.6080729166666666,0.012556836928376244
compression_rate,0.56,0.6223958333333334,0.008131507810414582
compression_rate,0.562,0.6223958333333334,0.008131507810414582
compression_rate,0.5640000000000001,0.6223958333333334,0.008131507810414582
